go_id	description
GO:0034357	photosynthetic membrane
GO:0051651	maintenance of location in cell
GO:0005839	proteasome core complex
GO:0030126	COPI vesicle coat
GO:0051493	regulation of cytoskeleton organization
GO:0030855	epithelial cell differentiation
GO:0007088	regulation of mitosis
GO:0017176	phosphatidylinositol N-acetylglucosaminyltransferase activity
GO:0006284	base-excision repair
GO:0006282	regulation of DNA repair
GO:0006281	DNA repair
GO:0015849	organic acid transport
GO:0045859	regulation of protein kinase activity
GO:0006289	nucleotide-excision repair
GO:0050832	defense response to fungus
GO:0030291	protein serine/threonine kinase inhibitor activity
GO:0005956	protein kinase CK2 complex
GO:0006570	tyrosine metabolic process
GO:0006575	cellular modified amino acid metabolic process
GO:0006576	cellular biogenic amine metabolic process
GO:0042085	5-methyltetrahydropteroyltri-L-glutamate-dependent methyltransferase activity
GO:0042083	5,10-methylenetetrahydrofolate-dependent methyltransferase activity
GO:0051783	regulation of nuclear division
GO:0006370	mRNA capping
GO:0006379	mRNA cleavage
GO:0016874	ligase activity
GO:0031072	heat shock protein binding
GO:0017000	antibiotic biosynthetic process
GO:0006596	polyamine biosynthetic process
GO:0006597	spermine biosynthetic process
GO:0017004	cytochrome complex assembly
GO:0006595	polyamine metabolic process
GO:0072339	cellular lactam biosynthetic process
GO:0072338	cellular lactam metabolic process
GO:0035004	phosphatidylinositol 3-kinase activity
GO:0035556	intracellular signal transduction
GO:0050789	regulation of biological process
GO:0015996	chlorophyll catabolic process
GO:0015994	chlorophyll metabolic process
GO:0015995	chlorophyll biosynthetic process
GO:0015992	proton transport
GO:0022884	macromolecule transmembrane transporter activity
GO:0015991	ATP hydrolysis coupled proton transport
GO:0042558	pteridine-containing compound metabolic process
GO:0042559	pteridine-containing compound biosynthetic process
GO:0043140	ATP-dependent 3'-5' DNA helicase activity
GO:0016876	ligase activity, forming aminoacyl-tRNA and related compounds
GO:0006629	lipid metabolic process
GO:0006626	protein targeting to mitochondrion
GO:0006621	protein retention in ER lumen
GO:0009260	ribonucleotide biosynthetic process
GO:0009263	deoxyribonucleotide biosynthetic process
GO:0009262	deoxyribonucleotide metabolic process
GO:0009265	2'-deoxyribonucleotide biosynthetic process
GO:0010340	carboxyl-O-methyltransferase activity
GO:0004842	ubiquitin-protein ligase activity
GO:0042430	indole-containing compound metabolic process
GO:0006302	double-strand break repair
GO:0030677	ribonuclease P complex
GO:0050658	RNA transport
GO:0004536	deoxyribonuclease activity
GO:0004532	exoribonuclease activity
GO:0050657	nucleic acid transport
GO:0006750	glutathione biosynthetic process
GO:0006023	aminoglycan biosynthetic process
GO:0006020	inositol metabolic process
GO:0006021	inositol biosynthetic process
GO:0006026	aminoglycan catabolic process
